Title,Authors,Year,Publication,Citations,ScholarURL
"C. Chauviré, Comprendre l’art. L’esthétique de Wittgenstein",,2017,"Lebenswelt. Aesthetics and philosophy of experience., 2017",0,
"Peter Kivy, De gustibus. Arguing about taste and why we do it, Oxford, Oxford University Press, 2015",,2017,"Studi di estetica, 2017",0,
"A. ARBO, P.-E. LEPHAY QUAND L’ENREGISTREMENT CHANGE LA MUSIQUE",,2017,,0,
FROM NONSENSE TO GESTURE: WITTGENSTEIN AND THE JUDGMENT OF VALUE,,2017,"RIVISTA DI ESTETICA, 143-154, 2017",0,
Which paradigm for the'language of music'? Towards a philosophy of musical gesture,,2017,"RIVISTA ITALIANA DI FILOSOFIA DEL LINGUAGGIO 11 (2), 205-216, 2017",0,
FROM THE SOUND OBJECT TO THE MUSICAL EVENT,,2017,"RIVISTA DI ESTETICA, 77-92, 2017",0,
"C. Chauvire, Including art. The esthetique de Wittgenstein",,2017,"LEBENSWELT-AESTHETICS AND PHILOSOPHY OF EXPERIENCE 10, 84-87, 2017",0,
Gesto artistico e improvvisazione musicale,,2016,"Studi di estetica, 2016",0,
"F. Wolff, Pourquoi la musique?",,2016,"Lebenswelt. Aesthetics and philosophy of experience., 2016",0,
"P. Criton, J.-M. Chouvel (sous la direction de), Gilles Deleuze. La pensée-musique",,2016,"Lebenswelt. Aesthetics and philosophy of experience., 2016",0,
"P. Criton, J.-M. Chouvel, Gilles Deleuze. La pensée-musique",,2016,,0,
Why the music?,,2016,"LEBENSWELT-AESTHETICS AND PHILOSOPHY OF EXPERIENCE 8, 96-100, 2016",0,
"Gilles Deleuze, Thought-music",,2016,"LEBENSWELT-AESTHETICS AND PHILOSOPHY OF EXPERIENCE 8, 92-95, 2016",0,
La filosofia della musica e le sue diverse cause,,2015,"Studi di estetica, 2015",0,
"E. Campbell, Music after Deleuze",,2015,"Lebenswelt. Aesthetics and philosophy of experience., 2015",0,
"A. Arbo-M. Ruta (sous la direction de), Ontologie musicale. Perspective et débats",,2015,"Lebenswelt. Aesthetics and philosophy of experience., 2015",0,
"A. Arbo-M. Ruta, Ontologie musicale. Perspective et débats",,2015,,0,
"Trascendenza e contraddizione: mistica, logica e tonalità emotive in Simone Weil",,2015,"Philosophical news: 11, 2, 2015, 93-102, 2015",0,
""" Like that of animal"": Wittgenstein ethologist",,2015,"SGUARDO-RIVISTA DI FILOSOFIA, 297-304, 2015",0,
"A. Arbo, Entendre comme. Wittgenstein et l'esthetique musicale",,2013,"Lebenswelt. Aesthetics and philosophy of experience., 2013",0,
Udire il senso. Note su musica e psicoanalisi,,2013,"Rivista Italiana di Filosofia del Linguaggio 7 (1), 110-123, 2013",0,
"B. Kivy, Sounding off",,2012,"Lebenswelt. Aesthetics and philosophy of experience., 2012",0,
"R. Scruton, Understanding music. Philosophy and interpretation",,2011,"Lebenswelt. Aesthetics and philosophy of experience., 2011",0,
Allo specchio.“I quattrocento colpi” di François Truffaut,,2011,"B@ belonline, 2011",0,
Libertà e Verità: il carattere personale della ricerca,,,,0,
Il sacrificio del linguaggio,,,"Il sacro, 105-114, 0",0,
INTERNATIONAL LEXICON OF AESTHETICS,,,,0,
